#curie_map:
#  FBcv: http://purl.obolibrary.org/obo/FBcv_
#  MMO: http://purl.obolibrary.org/obo/MMO_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  ORCID: https://orcid.org/
#  obo: http://purl.obolibrary.org/obo/
#mapping_set_id: http://purl.obolibrary.org/obo/fbcv/fbcv.sssom.tsv
#mapping_set_description: Mappings between the FlyBase Controlled Vocabulary (FBcv) and foreign ontologies and vocabularies.
#creator_id:
#  - ORCID:0000-0002-6095-8718
#license: https://creativecommons.org/licenses/by/4.0/
#subject_source: obo:fbcv.owl
#mapping_date: 2025-10-02
subject_id	subject_label	predicate_id	object_id	object_label	object_category	mapping_justification	object_type	object_source	comment
FBcv:0003130	tissue type study	skos:exactMatch	sssom:NoTermFound			semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003130	tissue type study	skos:narrowMatch	FBcv:X	anatomical structure	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		The Alliance term is specifically about studying gene expression in tissues, while the FBcv term is more broadly about studying the form or function of tissues (including but not limited to gene expression).
FBcv:0003131	cell type study	skos:exactMatch	FBcv:X	cell type	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003132	subcellular component study	skos:exactMatch	FBcv:X	subcellular component	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003133	gene study	skos:exactMatch	sssom:NoTermFound			semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003133	gene study	skos:narrowMatch	FBcv:X	gene	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		The Alliance term is specifically about studying the effects of gene perturbation, while the FBcv term is more broadly about studying the properties of a gene, whether in perturbed conditions or not.
FBcv:0003134	biotic stimulus study	skos:broadMatch	OBI:0001396	stimulus or stress design		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003134	biotic stimulus study	skos:exactMatch	FBcv:X	biotic stimulus	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003135	chemical stimulus study	skos:broadMatch	OBI:0001396	stimulus or stress design		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003135	chemical stimulus study	skos:exactMatch	FBcv:X	chemical stimulus	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003136	physical stimulus study	skos:exactMatch	FBcv:X	physical stimulus	Data Set Category Tags	semapv:ManualMappingCuration	rdfs literal		
FBcv:0003141	multi-individual sample	skos:exactMatch	OBI:0302716	pool of specimens		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003166	biotic treatment	skos:exactMatch	sssom:NoTermFound			semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003167	chemical treatment	skos:exactMatch	sssom:NoTermFound			semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003169	tissue dissection	skos:exactMatch	OBI:0001504	dissection		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003170	cell isolation	skos:exactMatch	OBI:0000512	isolation of cell population		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0003213	Illumina sequencing	skos:exactMatch	sssom:NoTermFound			semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009000	single-cell RNA-Seq	skos:exactMatch	MMO:0000862	single cell RNA-seq assay		semapv:ManualMappingCuration		obo:mmo.owl	
FBcv:0009000	single-cell RNA-Seq	skos:exactMatch	OBI:0002631	single-cell RNA sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009001	single-nucleus RNA-Seq	skos:exactMatch	OBI:0003109	single-nucleus RNA sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009001	single-nucleus RNA-Seq	skos:exactMatch	sssom:NoTermFound			semapv:ManualMappingCuration		obo:mmo.owl	
FBcv:0009002	cell clustering analysis	skos:broadMatch	OBI:0200175	class discovery data transformation		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009004	isolated nuclei	skos:exactMatch	OBI:0003109	single-nucleus RNA sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009006	DROP-Seq	skos:broadMatch	OBI:0002631	single-cell RNA sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009007	Smart-seq2	skos:broadMatch	OBI:0002631	single-cell RNA sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009008	10x sequencing	skos:broadMatch	OBI:0002631	single-cell RNA sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009009	starvation	skos:broadMatch	OBI:0600030	experimental disease induction		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009011	mechanical cell dissociation	skos:broadMatch	OBI:0000512	isolation of cell population		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009012	enzymatic cell dissociation	skos:broadMatch	OBI:0000512	isolation of cell population		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009013	chemical cell dissociation	skos:broadMatch	OBI:0000512	isolation of cell population		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009056	single-cell combinatorial indexing RNA sequencing	skos:exactMatch	OBI:0003105	single-cell combinatorial indexing RNA sequencing assay		semapv:ManualMappingCuration		obo:obi.owl	
FBcv:0009058	EMBL-EBI SCEA standard analysis method	skos:exactMatch	sssom:NoTermFound			semapv:ManualMappingCuration		obo:obi.owl	
